cust_name,id,review_date,review_title,review_description,range_used,review_score
Sophie,233,2022-09-15,La valise de rangement…,"La valise de rangement est pratique. 
Le matériel est bien.",Utilise ce produit depuis 2 à 8 semaines,5
Benjamin,234,2022-09-14,Musculation,Très bien pour la maison !,Utilise ce produit depuis 2 à 8 semaines,5
Christian,235,2022-09-13,Les joints ont tendance…,"Les joints ont tendance à ne pas rester en place un petit point de colle serait le bien venu .
Sinon impeccable",Utilise ce produit depuis 2 à 8 semaines,4
Sylvain,236,2022-09-13,Bon produit,Bon produit,Utilise ce produit depuis 2 à 8 semaines,3
MARION,237,2022-09-13,Musculation de plusieurs parties…,"Musculation de plusieurs parties du corps 
Pour le prix , 2 poids en plus de 2 kgs auraient été appréciables",Utilise ce produit depuis 2 à 8 semaines,5
Helder Michel,238,2022-12-09,Bon produit,Bon produit,Utilise ce produit depuis 1 semaine ou moins,3
Arnaud,239,2022-10-09,"Comme d'habitude avec Decathlon,…","Comme d'habitude avec Decathlon, tout est parfait !",Utilise ce produit depuis 2 à 8 semaines,5
Lucie,240,2022-10-09,Cool,"Merci Decathlon, très bon produit",Utilise ce produit depuis 7 à 12 mois,5
Ludovic,241,2022-09-09,Bon produit,Bon produit,Utilise ce produit depuis 7 à 12 mois,4
David,242,2022-09-09,Efficace,Efficace,Utilise ce produit depuis 2 à 8 semaines,5
David,243,2022-08-09,Fait le taf !,"Impeccable, facile d'utilisation, poids idéal pour l'utilisation que j'en ai. Un bon achat.

On pourrait juste émettre des doutes sur la qualité de la boite de stockage (solidité globale, éléments qui tombent à l'ouverture si on n'y va pas tout doucement).

La répartition des poids pourrait être légèrement différente. Actuellement on peut faire 2, 4, 6, 8 ou 10 kg par haltère mais pas 3, 5, 7 ou 9. C'est juste un truc à savoir avant l'achat.",Utilise ce produit depuis 1 semaine ou moins,5
Marie Laure,244,2022-07-09,très bons produits et…,très bons produits et pratique à stocker je recommande,Utilise ce produit depuis 2 à 8 semaines,5
